Latitude,Longitude,CrimeGroup_Name
14.598719,76.711283,CASES OF HURT
12.96211703,77.57163812,MISSING PERSON
15.429984,75.432539,ATTEMPT TO MURDER
12.265922,75.825952,CASES OF HURT
13.00475624,77.69453541,THEFT
13.168023,77.31056,THEFT
13.021652,77.553257,MOTOR VEHICLE ACCIDENTS NON-FATAL
37.088342,76.9336,MOTOR VEHICLE ACCIDENTS NON-FATAL
13.663127,77.205266,CASES OF HURT
13.43654,77.12346,CASES OF HURT
18.025453,77.097108,CRUELTY BY HUSBAND
12.261785,76.656843,MOTOR VEHICLE ACCIDENTS FATAL
13.01564,77.48414,THEFT
15.300352,74.605057,MOTOR VEHICLE ACCIDENTS FATAL
15.44439,75.013382,MOTOR VEHICLE ACCIDENTS NON-FATAL
77.57974701,12.88982145,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS"
13.036779,77.605671,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES
77.344486,13.000548,CRIMINAL TRESPASS
12.867619,77.671607,KIDNAPPING AND ABDUCTION
13.575045,76.562548,MOTOR VEHICLE ACCIDENTS NON-FATAL
6.752783,97.412897,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES
77.54705914,13.06246396,MISSING PERSON
12.732561,77.698412,CHEATING
14.6494563,75.0446455,SUICIDE
15.4843,74.349,MOTOR VEHICLE ACCIDENTS FATAL
16.158666,76.526989,BURGLARY - NIGHT
15.341288,75.149438,MISSING PERSON
12.782724,77.774783,THEFT
15.512126,76.012333,MOTOR VEHICLE ACCIDENTS NON-FATAL
15.133494,76.275595,MISSING PERSON
12.771642,77.742035,CASES OF HURT
13.758437,75.992288,MOLESTATION
14.512617,75.804055,CASES OF HURT
13.88475,77.01621,Karnataka State Local Act
6.752783,68.177512,CRIMINAL TRESPASS
13.199468,74.749668,MISSING PERSON
13.020376,77.583868,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES
14.436574,76.316342,MISSING PERSON
17.365126,76.806619,ROBBERY
13.036218,77.59543,ROBBERY
13.764457,74.784053,MOTOR VEHICLE ACCIDENTS NON-FATAL
12.944517,77.551956,MISSING PERSON
16.921979,75.076337,KARNATAKA POLICE ACT 1963
12.9766154990246,77.516073195246,MISSING PERSON
13.342823,77.106122,MOTOR VEHICLE ACCIDENTS NON-FATAL
12.91973,77.666841,MOTOR VEHICLE ACCIDENTS NON-FATAL
12.954562,77.587031,CHEATING
12.100492,76.600171,MISSING PERSON
13.001246,77.670067,CRUELTY BY HUSBAND
12.312456,76.253186,MOLESTATION
12.573193,77.341493,NEGLIGENT ACT
16.687694,75.217014,SUICIDE
13.301919,77.161703,THEFT
12.990149,78.177199,KARNATAKA POLICE ACT 1963
13.326895,74.823116,MOTOR VEHICLE ACCIDENTS NON-FATAL
13.0791284,77.5132117,CRIMES RELATED TO WOMEN
14.896713,75.552935,MISSING PERSON
13.01405,77.59187,CASES OF HURT
13.613274,76.534899,MISSING PERSON
13.03174,77.5991,MISSING PERSON
13.075403,77.633407,THEFT
17.829265,77.174231,BURGLARY - NIGHT
12.803266,74.901502,MOTOR VEHICLE ACCIDENTS NON-FATAL
12.96654,77.5482,DACOITY
17.719414,77.398335,BURGLARY - NIGHT
13.015187,77.526057,THEFT
12.973697,77.614419,MOTOR VEHICLE ACCIDENTS NON-FATAL
77.553864,12.4089459,NEGLIGENT ACT
14.204151,97.412898,KARNATAKA POLICE ACT 1963
13.327227,74.738658,MOTOR VEHICLE ACCIDENTS NON-FATAL
12.379731,76.46345,Karnataka State Local Act
12.9611,77.5821,BURGLARY - NIGHT
15.35178,75.129251, CYBER CRIME
12.978365,76.856882,KARNATAKA POLICE ACT 1963
12.353975,76.661334,MOTOR VEHICLE ACCIDENTS NON-FATAL
14.457644,75.394773, CYBER CRIME
13.0,77.0,KARNATAKA POLICE ACT 1963
77.60286817,12.95429449,THEFT
17.33823,76.8083769,MOTOR VEHICLE ACCIDENTS FATAL
16.704218,74.898767,THEFT
16.354113,74.819167,MISSING PERSON
13.588263,76.471159,DOWRY DEATHS
12.78619,77.7438059,ROBBERY
13.03559,77.489827,MISSING PERSON
13.039282,77.589827,PUBLIC SAFETY
13.096427,77.382985,MOTOR VEHICLE ACCIDENTS FATAL
12.83438,77.666969, CYBER CRIME
13.737746,75.783435,MOLESTATION
12.047926,77.026909,CASES OF HURT
13.347291,77.7376109,CRIMINAL TRESPASS
12.8666634,77.5741212,THEFT
15.284268,75.525696,KARNATAKA POLICE ACT 1963
13.022046,77.82612,THEFT
15.699262,75.737046,CHEATING
13.345147,77.103143,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES
12.86428,74.848493,SUICIDE
14.466803,75.918838,OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim)
13.164467,75.483645,Karnataka State Local Act
12.896452,74.838131,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES
77.5386414,12.9089459,PUBLIC SAFETY
16.808083,75.716719,KARNATAKA POLICE ACT 1963
15.941883,75.919787,MURDER
13.045678,74.797609,MOTOR VEHICLE ACCIDENTS NON-FATAL
16.449313,75.072975,MOLESTATION
17.499382,77.068139,BURGLARY - NIGHT
13.088496,77.021205,MOTOR VEHICLE ACCIDENTS NON-FATAL
12.93667,77.727381,MISSING PERSON
13.698756,78.236954,MOTOR VEHICLE ACCIDENTS NON-FATAL
13.04900004,77.50775346,BURGLARY - NIGHT
17.803515,77.016194,MOTOR VEHICLE ACCIDENTS NON-FATAL
15.43777,74.747206,BURGLARY - DAY
13.121749,74.594606,POCSO
13.010564,74.875511,MOTOR VEHICLE ACCIDENTS NON-FATAL
13.855903,76.9280339,MOTOR VEHICLE ACCIDENTS FATAL
12.097129,77.483052,MOLESTATION
16.819914,76.015872,NEGLIGENT ACT
13.018291,77.558814,MOTOR VEHICLE ACCIDENTS NON-FATAL
16.526747,74.652616,MOTOR VEHICLE ACCIDENTS FATAL
13.605844,75.939085,RIOTS
12.991146,77.50193,MISSING PERSON
13.803931,75.74873,KARNATAKA POLICE ACT 1963
17.028868,76.540303,MOTOR VEHICLE ACCIDENTS FATAL
12.505383,77.384881,MOTOR VEHICLE ACCIDENTS NON-FATAL
12.894649,77.511823,THEFT
16.840284,77.399582,ARMS ACT  1959
13.230318,77.106075,THEFT
13.14198,77.563643,THEFT
